Date,Open,High,Low,Close,Adj Close,Volume
2018-09-04,228.410004,229.179993,226.630005,228.360001,228.360001,27390100
2018-09-05,228.990005,229.669998,225.100006,226.869995,226.869995,33333000
2018-09-06,226.229996,227.350006,221.300003,223.100006,223.100006,34290000
2018-09-07,221.850006,225.369995,220.710007,221.300003,221.300003,37619800
2018-09-10,220.949997,221.850006,216.470001,218.330002,218.330002,39516500
2018-09-11,218.009995,224.300003,216.559998,223.850006,223.850006,35749000
2018-09-12,224.940002,225.000000,219.839996,221.070007,221.070007,49278700
2018-09-13,223.520004,228.350006,222.570007,226.410004,226.410004,41706400
2018-09-14,225.750000,226.839996,222.520004,223.839996,223.839996,31999300
2018-09-17,222.149994,222.949997,217.270004,217.880005,217.880005,37195100
2018-09-18,217.789993,221.850006,217.119995,218.240005,218.240005,31571700
2018-09-19,218.500000,219.619995,215.300003,218.369995,218.369995,27123800
2018-09-20,220.240005,222.279999,219.149994,220.029999,220.029999,26608800
2018-09-21,220.779999,221.360001,217.289993,217.660004,217.660004,96246700
2018-09-24,216.820007,221.259995,216.630005,220.789993,220.789993,27693400
2018-09-25,219.750000,222.820007,219.699997,222.190002,222.190002,24554400
2018-09-26,221.000000,223.750000,219.759995,220.419998,220.419998,23984700
2018-09-27,223.820007,226.440002,223.539993,224.949997,224.949997,30181200
2018-09-28,224.789993,225.839996,224.020004,225.740005,225.740005,22889300
2018-10-01,227.949997,229.419998,227.410004,227.750000,227.750000,14635948
